24h High (USD),24h Low (USD)
0.056990892,0.054279598
0.057048014,0.054239573
0.060611192,0.054703485
0.063290793,0.058582146
0.059712191,0.055021895
0.059138185,0.055359752
0.059008312,0.056569288
0.059295868,0.056935273
0.060006065,0.056446757
0.06079384,0.058058328
0.059650714,0.056746115
0.058023856,0.054645101
0.056163932,0.053041087
0.056751192,0.050842907
0.052467168,0.049387082
0.053958866,0.051233545
0.055489751,0.053446905
0.05493745,0.052976286
0.054776099,0.053190319
0.055667122,0.053617672
0.054640601,0.051624287
0.071205588,0.053626903
0.062842168,0.057322969
0.059485689,0.056007389
0.058243947,0.055169694
0.059314732,0.056264542
0.065325005,0.058065967
0.067477322,0.05713969
0.062407982,0.058661152
0.064287791,0.060477359
0.065111407,0.060942528
0.080034481,0.063324808
0.075430358,0.06869098
0.094517098,0.070633235
0.145307731,0.092168066
0.191841021,0.119870139
0.450486496,0.179308342
0.381435038,0.231646176
0.351533586,0.242357807
0.428461013,0.309447102
0.424082256,0.270982072
0.347929431,0.296531853
0.309229769,0.253302698
0.269405262,0.160811699
0.291159694,0.230929255
0.288425735,0.226516875
0.280852995,0.24769821
0.280314666,0.264840644
0.346254244,0.256312513
0.324796895,0.296199345
0.340012902,0.302599464
0.392687351,0.328297457
0.400120412,0.362501819
0.447834979,0.374383008
0.61113518,0.404326976
0.696495456,0.521010806
0.66479447,0.541251818
0.73407397,0.518043202
0.74001033,0.601951832
0.701836882,0.41869423
0.57225052,0.420449572
0.548795859,0.443969025
0.52159038,0.432616881
0.456328824,0.355279197
0.591271402,0.465178855
0.564693389,0.491605129
0.54909719,0.449745681
0.516263483,0.456249163
0.508853277,0.469999313
0.48013626,0.23911077
0.436621732,0.303589215
0.412568057,0.314786784
0.363897586,0.317755292
0.350685933,0.248912229
0.374993701,0.296114186
0.380704601,0.322972248
0.367165044,0.337547581
0.353612638,0.327808909
0.347885083,0.303277964
0.31815274,0.280432553
0.311086683,0.28730316
0.329929759,0.294421765
0.377706501,0.311601903
0.446124202,0.351236869
0.441374153,0.380120401
0.402199789,0.350249481
0.395278191,0.360314195
0.377346286,0.367012519
0.38015778,0.330393998
0.342091522,0.295683789
0.354765389,0.312722132
0.345222673,0.322838048
